Industry,OrgSize,Category,Rank,Tool,Count,Pct,CategoryRespondents,GroupSize
Banking/Financial Services,"1,000 to 4,999 employees",AIModels,1,openAI GPT (chatbot models),88,83.8,105,269
Banking/Financial Services,"1,000 to 4,999 employees",AIModels,2,Anthropic: Claude Sonnet,45,42.9,105,269
Banking/Financial Services,"1,000 to 4,999 employees",AIModels,3,Gemini (Flash general purpose models),42,40.0,105,269
Banking/Financial Services,"1,000 to 4,999 employees",AIModels,4,openAI Reasoning models,32,30.5,105,269
Banking/Financial Services,"1,000 to 4,999 employees",AIModels,5,Gemini (Pro Reasoning models),31,29.5,105,269
Banking/Financial Services,"1,000 to 4,999 employees",Database,1,PostgreSQL,106,56.7,187,269
Banking/Financial Services,"1,000 to 4,999 employees",Database,2,Microsoft SQL Server,91,48.7,187,269
Banking/Financial Services,"1,000 to 4,999 employees",Database,3,Oracle,62,33.2,187,269
Banking/Financial Services,"1,000 to 4,999 employees",Database,4,MySQL,59,31.6,187,269
Banking/Financial Services,"1,000 to 4,999 employees",Database,5,SQLite,48,25.7,187,269
Banking/Financial Services,"1,000 to 4,999 employees",Platform,1,Docker,123,67.6,182,269
Banking/Financial Services,"1,000 to 4,999 employees",Platform,2,npm,99,54.4,182,269
Banking/Financial Services,"1,000 to 4,999 employees",Platform,3,Amazon Web Services (AWS),77,42.3,182,269
Banking/Financial Services,"1,000 to 4,999 employees",Platform,4,Microsoft Azure,75,41.2,182,269
Banking/Financial Services,"1,000 to 4,999 employees",Platform,5,Kubernetes,73,40.1,182,269
Banking/Financial Services,"10,000 or more employees",AIModels,1,openAI GPT (chatbot models),144,87.3,165,357
Banking/Financial Services,"10,000 or more employees",AIModels,2,Anthropic: Claude Sonnet,62,37.6,165,357
Banking/Financial Services,"10,000 or more employees",AIModels,3,Gemini (Flash general purpose models),45,27.3,165,357
Banking/Financial Services,"10,000 or more employees",AIModels,4,openAI Reasoning models,41,24.8,165,357
Banking/Financial Services,"10,000 or more employees",AIModels,5,openAI Image generating models,40,24.2,165,357
Banking/Financial Services,"10,000 or more employees",Database,1,PostgreSQL,132,53.0,249,357
Banking/Financial Services,"10,000 or more employees",Database,2,Microsoft SQL Server,79,31.7,249,357
Banking/Financial Services,"10,000 or more employees",Database,3,SQLite,79,31.7,249,357
Banking/Financial Services,"10,000 or more employees",Database,4,MySQL,74,29.7,249,357
Banking/Financial Services,"10,000 or more employees",Database,5,Oracle,70,28.1,249,357
Banking/Financial Services,"10,000 or more employees",Platform,1,Docker,174,69.9,249,357
Banking/Financial Services,"10,000 or more employees",Platform,2,npm,137,55.0,249,357
Banking/Financial Services,"10,000 or more employees",Platform,3,Amazon Web Services (AWS),116,46.6,249,357
Banking/Financial Services,"10,000 or more employees",Platform,4,Kubernetes,113,45.4,249,357
Banking/Financial Services,"10,000 or more employees",Platform,5,Pip,103,41.4,249,357
Banking/Financial Services,100 to 499 employees,AIModels,1,openAI GPT (chatbot models),64,81.0,79,192
Banking/Financial Services,100 to 499 employees,AIModels,2,Anthropic: Claude Sonnet,36,45.6,79,192
Banking/Financial Services,100 to 499 employees,AIModels,3,Gemini (Flash general purpose models),24,30.4,79,192
Banking/Financial Services,100 to 499 employees,AIModels,4,openAI Reasoning models,24,30.4,79,192
Banking/Financial Services,100 to 499 employees,AIModels,5,Gemini (Pro Reasoning models),18,22.8,79,192
Banking/Financial Services,100 to 499 employees,Database,1,Microsoft SQL Server,78,52.7,148,192
Banking/Financial Services,100 to 499 employees,Database,2,PostgreSQL,77,52.0,148,192
Banking/Financial Services,100 to 499 employees,Database,3,MySQL,56,37.8,148,192
Banking/Financial Services,100 to 499 employees,Database,4,SQLite,39,26.4,148,192
Banking/Financial Services,100 to 499 employees,Database,5,Redis,35,23.6,148,192
Banking/Financial Services,100 to 499 employees,Platform,1,Docker,84,63.2,133,192
Banking/Financial Services,100 to 499 employees,Platform,2,npm,77,57.9,133,192
Banking/Financial Services,100 to 499 employees,Platform,3,Amazon Web Services (AWS),56,42.1,133,192
Banking/Financial Services,100 to 499 employees,Platform,4,Microsoft Azure,51,38.3,133,192
Banking/Financial Services,100 to 499 employees,Platform,5,Kubernetes,43,32.3,133,192
Banking/Financial Services,20 to 99 employees,AIModels,1,openAI GPT (chatbot models),52,86.7,60,157
Banking/Financial Services,20 to 99 employees,AIModels,2,Anthropic: Claude Sonnet,33,55.0,60,157
Banking/Financial Services,20 to 99 employees,AIModels,3,openAI Reasoning models,25,41.7,60,157
Banking/Financial Services,20 to 99 employees,AIModels,4,Gemini (Flash general purpose models),21,35.0,60,157
Banking/Financial Services,20 to 99 employees,AIModels,5,Gemini (Pro Reasoning models),17,28.3,60,157
Banking/Financial Services,20 to 99 employees,Database,1,PostgreSQL,72,59.0,122,157
Banking/Financial Services,20 to 99 employees,Database,2,MySQL,51,41.8,122,157
Banking/Financial Services,20 to 99 employees,Database,3,Microsoft SQL Server,49,40.2,122,157
Banking/Financial Services,20 to 99 employees,Database,4,Redis,41,33.6,122,157
Banking/Financial Services,20 to 99 employees,Database,5,SQLite,40,32.8,122,157
Banking/Financial Services,20 to 99 employees,Platform,1,Docker,77,70.0,110,157
Banking/Financial Services,20 to 99 employees,Platform,2,npm,63,57.3,110,157
Banking/Financial Services,20 to 99 employees,Platform,3,Amazon Web Services (AWS),44,40.0,110,157
Banking/Financial Services,20 to 99 employees,Platform,4,Pip,41,37.3,110,157
Banking/Financial Services,20 to 99 employees,Platform,5,Kubernetes,38,34.5,110,157
Banking/Financial Services,"5,000 to 9,999 employees",AIModels,1,openAI GPT (chatbot models),41,80.4,51,100
Banking/Financial Services,"5,000 to 9,999 employees",AIModels,2,Anthropic: Claude Sonnet,27,52.9,51,100
Banking/Financial Services,"5,000 to 9,999 employees",AIModels,3,openAI Reasoning models,20,39.2,51,100
Banking/Financial Services,"5,000 to 9,999 employees",AIModels,4,Gemini (Pro Reasoning models),14,27.5,51,100
Banking/Financial Services,"5,000 to 9,999 employees",AIModels,5,Gemini (Flash general purpose models),12,23.5,51,100
Banking/Financial Services,"5,000 to 9,999 employees",Database,1,PostgreSQL,38,55.1,69,100
Banking/Financial Services,"5,000 to 9,999 employees",Database,2,Microsoft SQL Server,33,47.8,69,100
Banking/Financial Services,"5,000 to 9,999 employees",Database,3,SQLite,17,24.6,69,100
Banking/Financial Services,"5,000 to 9,999 employees",Database,4,Redis,16,23.2,69,100
Banking/Financial Services,"5,000 to 9,999 employees",Database,5,Elasticsearch,15,21.7,69,100
Banking/Financial Services,"5,000 to 9,999 employees",Platform,1,Docker,44,67.7,65,100
Banking/Financial Services,"5,000 to 9,999 employees",Platform,2,Amazon Web Services (AWS),37,56.9,65,100
Banking/Financial Services,"5,000 to 9,999 employees",Platform,3,npm,30,46.2,65,100
Banking/Financial Services,"5,000 to 9,999 employees",Platform,4,Kubernetes,27,41.5,65,100
Banking/Financial Services,"5,000 to 9,999 employees",Platform,5,Pip,27,41.5,65,100
Banking/Financial Services,500 to 999 employees,AIModels,1,openAI GPT (chatbot models),37,80.4,46,114
Banking/Financial Services,500 to 999 employees,AIModels,2,Anthropic: Claude Sonnet,18,39.1,46,114
Banking/Financial Services,500 to 999 employees,AIModels,3,openAI Image generating models,17,37.0,46,114
Banking/Financial Services,500 to 999 employees,AIModels,4,openAI Reasoning models,15,32.6,46,114
Banking/Financial Services,500 to 999 employees,AIModels,5,Gemini (Flash general purpose models),11,23.9,46,114
Banking/Financial Services,500 to 999 employees,Database,1,PostgreSQL,50,56.8,88,114
Banking/Financial Services,500 to 999 employees,Database,2,Microsoft SQL Server,34,38.6,88,114
Banking/Financial Services,500 to 999 employees,Database,3,MySQL,25,28.4,88,114
Banking/Financial Services,500 to 999 employees,Database,4,SQLite,25,28.4,88,114
Banking/Financial Services,500 to 999 employees,Database,5,Oracle,24,27.3,88,114
Banking/Financial Services,500 to 999 employees,Platform,1,Docker,57,75.0,76,114
